Ranks,ReviewId,PlanId,OpportunityId,StatusCd,RiskTierCd,RiskTierDesc,ReviewTypeCd,ReviewStageCd,ConductDt,FinalizedDt,TNRinM,TCNRinM,OG,RBE,REG,Quarter,QuarterInNum,OGNum,REGNum,RBENum
2,4284841,1390859,10842683,FALSE,3,Normal,O,2b,5/22/2018,6/4/2018,8.2,3.74,CMT,OG,Na,Fy18Q4,8,2,5,3
1,4284845,1390865,10842688,FALSE,3,Normal,O,2b,5/28/2018,5/30/2018,1.25,1.25,CMT,OG,Na,Fy18Q3,7,2,5,3
1,4281331,1390889,10842704,FALSE,3,Normal,O,3b,10/18/2018,10/26/2018,9.3,9.3,RES,OG,Na,Fy19Q1,9,6,5,3
2,4402832,1390889,10842704,FALSE,3,Normal,O,2b,8/27/2018,8/30/2018,9.3,9.3,RES,OG,Na,Fy18Q4,8,6,5,3
1,4282769,1390970,10842750,FALSE,3,Normal,O,2b,2/10/2018,7/2/2018,1,1,FS,OG,Na,Fy18Q4,8,3,5,3
1,4281848,1391110,10842840,FALSE,2,Above Normal,O,3b,6/26/2018,10/14/2018,2.27,2.27,PRD,Digital,Europe,Fy19Q1,9,5,3,2
1,4281770,1391111,10842841,FALSE,3,Normal,O,3b,6/12/2018,6/17/2018,0.46,0.46,FS,OG,AAPAC,Fy18Q4,8,3,2,3
1,4281819,1391121,10842848,FALSE,3,Normal,O,3b,7/9/2018,7/10/2018,1.16,0,RES,OG,Europe,Fy18Q4,8,6,3,3
2,4283983,1391121,10842848,FALSE,3,Normal,O,2b,6/9/2018,6/10/2018,1.16,0,RES,OG,Europe,Fy18Q4,8,6,3,3
1,4282443,1391409,10843019,FALSE,3,Normal,O,3b,6/6/2018,6/11/2018,1.37,1.37,CMT,OG,Europe,Fy18Q4,8,2,3,3
1,4282754,1391438,10843040,FALSE,2,Above Normal,O,3b,8/24/2018,8/28/2018,1.03,1.03,PRD,Technology,Na,Fy18Q4,8,5,5,7
1,4282547,1391441,10843043,FALSE,3,Normal,O,3b,9/19/2018,9/28/2018,13.35,13.35,RES,Technology,LA,Fy19Q1,9,6,4,7
2,4282995,1391441,10843043,FALSE,3,Normal,O,2b,9/18/2018,9/25/2018,13.35,13.35,RES,Technology,LA,Fy19Q1,9,6,4,7
1,4285382,1391454,10843052,FALSE,3,Normal,O,2b,6/5/2018,6/6/2018,2.56,0,RES,OG,Na,Fy18Q4,8,6,5,3
1,4282694,1391535,10843105,FALSE,2,Above Normal,O,2b,7/17/2018,7/18/2018,69.44,69.44,PRD,Operations,Europe,Fy18Q4,8,5,3,4
1,4402223,1391541,10843110,FALSE,3,Normal,O,2b,9/11/2018,9/18/2018,2.2,2.2,PRD,Digital,Na,Fy19Q1,9,5,5,2
1,4282695,1391592,10843145,FALSE,3,Normal,O,3b,6/5/2018,6/6/2018,2.15,2.15,PRD,Technology,Na,Fy18Q4,8,5,5,7
1,4282812,1391631,10843173,FALSE,3,Normal,O,3b,5/31/2018,6/6/2018,1.06,1.06,PRD,OG,Na,Fy18Q4,8,5,5,3
1,4282793,1391644,10843180,FALSE,3,Normal,O,3b,7/4/2018,7/5/2018,1.79,1.79,PRD,Digital,Na,Fy18Q4,8,5,5,2
1,4283002,1391731,10843234,FALSE,3,Normal,O,3b,5/31/2018,6/8/2018,0.46,0.46,PRD,OG,Na,Fy18Q4,8,5,5,3
1,4283099,1391789,10843270,FALSE,3,Normal,O,3b,6/6/2018,6/7/2018,1.22,1.22,FS,Operations,LA,Fy18Q4,8,3,4,4
1,4283266,1391854,10843311,FALSE,3,Normal,O,2b,6/13/2018,6/21/2018,2.88,2.88,FS,Strategy,Europe,Fy18Q4,8,3,3,6
1,4283529,1391989,10843404,FALSE,3,Normal,O,3b,6/25/2018,6/26/2018,1.39,1.39,PRD,Strategy,AAPAC,Fy18Q4,8,5,2,6
2,4283530,1391989,10843404,FALSE,3,Normal,O,2b,6/25/2018,6/26/2018,1.39,1.39,PRD,Strategy,AAPAC,Fy18Q4,8,5,2,6
1,4283526,1391993,10843407,FALSE,3,Normal,O,3b,8/1/2018,8/14/2018,6.94,6.94,CMT,Operations,Na,Fy18Q4,8,2,5,4
1,4283767,1392103,10843478,FALSE,3,Normal,O,3b,5/24/2018,6/4/2018,1.39,1.39,CMT,OG,Na,Fy18Q4,8,2,5,3
1,4283775,1392135,10843499,FALSE,3,Normal,O,3b,7/1/2018,7/12/2018,1.28,1.28,FS,OG,AAPAC,Fy18Q4,8,3,2,3
2,4285143,1392135,10843499,FALSE,3,Normal,O,2b,6/21/2018,7/2/2018,1.28,1.28,FS,OG,AAPAC,Fy18Q4,8,3,2,3
1,4283776,1392138,10843501,FALSE,3,Normal,O,3b,7/25/2018,7/26/2018,4.03,4.03,FS,OG,Europe,Fy18Q4,8,3,3,3
1,4283789,1392140,10843502,FALSE,3,Normal,O,3b,8/30/2018,9/2/2018,4.52,4.52,RES,OG,Europe,Fy19Q1,9,6,3,3
2,4409027,1392140,10843502,FALSE,3,Normal,O,2b,8/30/2018,9/2/2018,4.52,4.52,RES,OG,Europe,Fy19Q1,9,6,3,3
1,4288198,1392308,10843607,FALSE,3,Normal,O,3b,7/4/2018,7/31/2018,10.27,0,HPS,OG,Europe,Fy18Q4,8,4,3,3
2,4316223,1392308,10843607,FALSE,3,Normal,O,2b,6/13/2018,7/31/2018,10.27,0,HPS,OG,Europe,Fy18Q4,8,4,3,3
1,4284637,1392423,10843680,FALSE,3,Normal,O,3b,7/1/2018,7/3/2018,5.42,5.42,RES,Digital,Europe,Fy18Q4,8,6,3,2
2,4359490,1392423,10843680,FALSE,3,Normal,O,2b,7/2/2018,8/30/2018,5.42,5.42,RES,Digital,Europe,Fy18Q4,8,6,3,2
1,4284398,1392460,10843706,FALSE,3,Normal,O,3b,11/4/2018,11/26/2018,6.6,6.6,PRD,OG,Na,Fy19Q1,9,5,5,3
2,4284414,1392460,10843706,FALSE,3,Normal,O,2b,7/30/2018,8/1/2018,6.6,6.6,PRD,OG,Na,Fy18Q4,8,5,5,3
1,4284613,1392548,10843771,FALSE,2,Above Normal,O,3b,8/20/2018,8/22/2018,33.15,33.15,RES,Technology,Na,Fy18Q4,8,6,5,7
2,4360164,1392548,10843771,FALSE,2,Above Normal,O,2b,7/24/2018,8/2/2018,33.15,33.15,RES,Technology,Na,Fy18Q4,8,6,5,7
1,4284759,1392604,10843806,FALSE,2,Above Normal,O,3b,7/31/2018,8/2/2018,5.33,5.33,RES,Technology,Na,Fy18Q4,8,6,5,7
2,4284760,1392604,10843806,FALSE,2,Above Normal,O,2b,6/7/2018,6/27/2018,5.33,5.33,RES,Technology,Na,Fy18Q4,8,6,5,7
1,4286173,1392628,10843821,FALSE,3,Normal,O,3b,3/25/2018,5/29/2018,0.4,0.4,CMT,OG,Na,Fy18Q3,7,2,5,3
1,4284939,1392726,10843886,FALSE,3,Normal,O,2b,6/6/2018,6/13/2018,7.09,7.09,PRD,Digital,Na,Fy18Q4,8,5,5,2
1,4285116,1392845,10843968,FALSE,3,Normal,O,3b,10/8/2018,10/12/2018,6.08,4.82,RES,Technology,Na,Fy19Q1,9,6,5,7
2,4289314,1392845,10843968,FALSE,3,Normal,O,2b,7/10/2018,8/4/2018,6.08,4.82,RES,Technology,Na,Fy18Q4,8,6,5,7
1,4285135,1392860,10843979,FALSE,3,Normal,O,3b,7/9/2018,7/9/2018,1.31,1.31,PRD,Digital,AAPAC,Fy18Q4,8,5,2,2
1,4407880,1392877,10843990,FALSE,3,Normal,O,2b,8/31/2018,9/2/2018,11.58,11.58,PRD,Technology,AAPAC,Fy19Q1,9,5,2,7
1,4285177,1392880,10843992,FALSE,3,Normal,O,2b,5/13/2018,5/30/2018,10.64,1.06,PRD,OG,Europe,Fy18Q3,7,5,3,3
1,4285246,1392901,10844008,FALSE,3,Normal,O,3b,6/17/2018,6/18/2018,1.03,1.03,FS,OG,Europe,Fy18Q4,8,3,3,3
1,4285433,1392905,10844011,FALSE,2,Above Normal,O,2b,11/1/2018,11/13/2018,7.71,7.71,PRD,Technology,AAPAC,Fy19Q1,9,5,2,7
1,4285779,1392954,10844043,FALSE,2,Above Normal,O,2b,5/30/2018,6/4/2018,2.85,2.85,CMT,Technology,AAPAC,Fy18Q4,8,2,2,7
1,4285360,1392969,10844054,FALSE,3,Normal,O,3b,9/4/2018,9/27/2018,1.58,1.58,HPS,OG,AAPAC,Fy19Q1,9,4,2,3
1,4285415,1392996,10844077,FALSE,2,Above Normal,O,3b,6/3/2018,6/29/2018,2.56,2.56,PRD,Technology,Na,Fy18Q4,8,5,5,7
1,4286027,1393248,10844230,FALSE,2,Above Normal,O,2b,6/4/2018,6/6/2018,3.68,3.68,PRD,Technology,AAPAC,Fy18Q4,8,5,2,7
1,4297939,1393274,10844245,FALSE,3,Normal,O,2b,6/5/2018,6/6/2018,5.31,5.31,PRD,Technology,Europe,Fy18Q4,8,5,3,7
1,4287900,1393362,10844303,FALSE,3,Normal,O,2b,7/17/2018,7/18/2018,3.06,3.06,FS,OG,Europe,Fy18Q4,8,3,3,3
1,4286788,1393535,10844413,FALSE,3,Normal,O,2b,6/5/2018,6/7/2018,4.41,4.41,PRD,Digital,Europe,Fy18Q4,8,5,3,2
2,4760688,1393592,10844455,FALSE,3,Normal,O,2b,10/22/2018,11/19/2018,1.35,1.35,RES,Technology,LA,Fy19Q1,9,6,4,7
1,4287144,1393713,10844541,FALSE,3,Normal,O,3b,8/20/2018,8/22/2018,0.58,0.58,RES,Technology,Europe,Fy18Q4,8,6,3,7
1,4287124,1393714,10844542,FALSE,2,Above Normal,O,2b,7/2/2018,7/12/2018,9.73,9.73,PRD,Operations,AAPAC,Fy18Q4,8,5,2,4
2,4287426,1393862,10844631,FALSE,2,Above Normal,O,2b,6/27/2018,6/29/2018,14.47,14.47,FS,Technology,Europe,Fy18Q4,8,3,3,7
1,4287811,1393970,10844695,FALSE,3,Normal,O,3b,11/25/2018,11/27/2018,3.37,3.37,RES,Technology,Europe,Fy19Q1,9,6,3,7
2,4288463,1393970,10844695,FALSE,3,Normal,O,2b,5/28/2018,5/31/2018,3.37,3.37,RES,Technology,Europe,Fy18Q3,7,6,3,7
1,4337135,1393986,10844707,FALSE,3,Normal,O,3b,11/5/2018,11/20/2018,2,2,FS,Technology,Europe,Fy19Q1,9,3,3,7
1,4290387,1393993,10844713,FALSE,3,Normal,O,3b,5/29/2018,5/30/2018,0.89,0.89,RES,OG,Europe,Fy18Q3,7,6,3,3
1,4287862,1394039,10844741,FALSE,3,Normal,O,3b,7/15/2018,7/20/2018,12,12,CMT,Operations,Na,Fy18Q4,8,2,5,4
2,4287863,1394039,10844741,FALSE,3,Normal,O,2b,12/4/2017,7/20/2018,12,12,CMT,Operations,Na,Fy18Q4,8,2,5,4
1,4334909,1394040,10844742,FALSE,3,Normal,O,3b,6/29/2018,7/2/2018,0.59,0.59,PRD,Strategy,AAPAC,Fy18Q4,8,5,2,6
1,4289677,1394043,10844744,FALSE,3,Normal,O,3b,5/30/2018,6/4/2018,1.07,1.07,HPS,Technology,Europe,Fy18Q4,8,4,3,7
1,4287867,1394045,10844746,FALSE,3,Normal,O,3b,8/15/2018,9/4/2018,0.62,0.62,PRD,Digital,Europe,Fy19Q1,9,5,3,2
1,4290627,1394067,10844761,FALSE,3,Normal,O,3b,7/4/2018,7/13/2018,1.3,1.19,FS,Digital,Europe,Fy18Q4,8,3,3,2
1,4288387,1394088,10844774,FALSE,3,Normal,O,3b,4/15/2018,5/29/2018,1.49,1.49,CMT,Digital,Europe,Fy18Q3,7,2,3,2
2,4300636,1394089,10844775,FALSE,3,Normal,O,2b,6/20/2018,7/2/2018,0.51,0.51,FS,Digital,AAPAC,Fy18Q4,8,3,2,2
1,4288321,1394235,10844869,FALSE,2,Above Normal,O,3b,9/27/2018,9/27/2018,13.12,13.12,RES,Technology,AAPAC,Fy19Q1,9,6,2,7
2,4289892,1394235,10844869,FALSE,2,Above Normal,O,2b,8/15/2018,8/22/2018,13.12,13.12,RES,Technology,AAPAC,Fy18Q4,8,6,2,7
1,4392473,1394304,10844913,FALSE,2,Above Normal,O,2b,8/15/2018,9/5/2018,2.25,2.25,RES,Technology,LA,Fy19Q1,9,6,4,7
1,4292367,1394504,10845039,FALSE,3,Normal,O,2b,6/6/2018,6/19/2018,5.91,5.91,HPS,Technology,Na,Fy18Q4,8,4,5,7
1,4289112,1394545,10845065,FALSE,3,Normal,O,3b,8/5/2018,8/9/2018,9.63,9.63,PRD,Technology,Na,Fy18Q4,8,5,5,7
2,4289113,1394545,10845065,FALSE,3,Normal,O,2b,6/17/2018,6/21/2018,9.63,9.63,PRD,Technology,Na,Fy18Q4,8,5,5,7
1,4295841,1394653,10845129,FALSE,3,Normal,O,3b,7/31/2018,8/2/2018,1.26,1.26,CMT,OG,Europe,Fy18Q4,8,2,3,3
1,4300616,1394660,10845133,FALSE,3,Normal,O,2b,6/14/2018,6/17/2018,3.01,3.01,FS,Technology,Na,Fy18Q4,8,3,5,7
2,4303922,1394667,10845138,FALSE,2,Above Normal,O,2b,6/3/2018,7/3/2018,10.13,10.13,PRD,Digital,Europe,Fy18Q4,8,5,3,2
1,4289405,1394699,10845161,FALSE,3,Normal,O,3b,5/31/2018,6/1/2018,1.03,1.03,PRD,Strategy,Europe,Fy18Q4,8,5,3,6
1,4306445,1394806,10845226,FALSE,3,Normal,O,2b,6/11/2018,7/20/2018,5.67,5.67,PRD,Digital,Na,Fy18Q4,8,5,5,2
1,4290262,1394970,10845320,FALSE,3,Normal,O,3b,6/6/2018,6/13/2018,0.43,0.43,PRD,OG,AAPAC,Fy18Q4,8,5,2,3
1,4289980,1395024,10845353,FALSE,2,Above Normal,O,3b,5/20/2018,5/31/2018,13.49,13.49,PRD,Operations,Na,Fy18Q3,7,5,5,4
2,4289986,1395024,10845353,FALSE,2,Above Normal,O,2b,4/22/2018,5/31/2018,13.49,13.49,PRD,Operations,Na,Fy18Q3,7,5,5,4
1,4290049,1395067,10845378,FALSE,2,Above Normal,O,3b,7/10/2018,7/13/2018,33.55,33.55,PRD,Operations,Europe,Fy18Q4,8,5,3,4
2,4290067,1395067,10845378,FALSE,2,Above Normal,O,2b,5/2/2018,6/1/2018,33.55,33.55,PRD,Operations,Europe,Fy18Q4,8,5,3,4
1,4293278,1395077,10845386,FALSE,3,Normal,O,2b,6/13/2018,6/19/2018,2.84,2.84,FS,Technology,AAPAC,Fy18Q4,8,3,2,7
1,4293127,1395157,10845439,FALSE,3,Normal,O,3b,6/10/2018,6/11/2018,1.17,1.17,FS,OG,Europe,Fy18Q4,8,3,3,3
1,4301815,1395187,10845460,FALSE,2,Above Normal,O,3b,11/20/2018,11/21/2018,1.13,0,HPS,Security,Europe,Fy19Q1,9,4,3,5
